Month,High Temp,Low Temp,Mean Temp,Precipitation,Humidity,Dew Point,Wind,Pressure,Visibility
January,69.0,49.0,59.0,3.37,59.0,42.0,3.0,30.08,10.0
February,68.0,50.0,59.0,3.57,62.0,44.0,4.0,30.05,10.0
March,70.0,53.0,62.0,2.09,64.0,47.0,4.0,30.02,9.0
April,73.0,55.0,64.0,0.69,64.0,49.0,5.0,29.98,10.0
May,74.0,59.0,66.0,0.35,68.0,54.0,5.0,29.94,9.0
June,78.0,62.0,70.0,0.09,69.0,57.0,5.0,29.9,9.0
July,83.0,65.0,74.0,0.04,68.0,61.0,4.0,29.92,9.0
August,85.0,66.0,75.0,0.07,67.0,61.0,4.0,29.9,9.0
September,83.0,64.0,74.0,0.14,66.0,60.0,4.0,29.88,9.0
October,79.0,60.0,70.0,0.62,63.0,54.0,3.0,29.94,9.0
November,73.0,54.0,63.0,0.85,57.0,46.0,3.0,30.03,9.0
December,68.0,49.0,58.0,2.52,57.0,41.0,3.0,30.08,10.0
