Weekday,Date,Temp High,Temp Low,Condition,Feels Like,Humidity,Precipitation_Rain,Precipitation_Snow,Precipitation Chance,Wind Direction,Wind Degree,Wind Speed
Thu,May 14,74.0,57.0,Sunny,77.0,49.0,0.0,0.0,0.0,SSW,300.0,9.0
Fri,May 15,74.0,56.0,Mostly sunny,77.0,52.0,0.0,0.0,0.0,SSW,290.0,9.0
Sat,May 16,72.0,57.0,Scattered clouds,76.0,56.0,0.0,0.0,0.0,SSW,300.0,10.0
Sun,May 17,74.0,56.0,Mostly cloudy,77.0,47.0,0.0,0.0,0.0,S,280.0,10.0
Mon,May 18,78.0,57.0,Afternoon clouds,78.0,40.0,0.0,0.0,0.0,SW,320.0,10.0
Tue,May 19,79.0,56.0,Cloudy,78.0,44.0,0.0,0.0,0.0,SW,320.0,10.0
Wed,May 20,77.0,59.0,Mostly sunny,78.0,46.0,0.0,0.0,0.0,SW,320.0,10.0
Thu,May 21,78.0,59.0,Partly cloudy,78.0,48.0,0.0,0.0,2.0,SW,310.0,9.0
Fri,May 22,78.0,67.0,Overcast,78.0,41.0,0.0,0.0,5.0,SSW,300.0,10.0
Sat,May 23,76.0,66.0,Showers early. Cloudy,78.0,51.0,0.02,0.0,41.0,SW,320.0,10.0
Sun,May 24,76.0,66.0,Mostly sunny,78.0,42.0,0.0,0.0,6.0,SSW,290.0,11.0
Mon,May 25,79.0,67.0,Sunny,80.0,43.0,0.0,0.0,4.0,SW,320.0,10.0
Tue,May 26,84.0,64.0,Mostly sunny,84.0,42.0,0.0,0.0,4.0,SW,320.0,10.0
Wed,May 27,88.0,64.0,Sunny,86.0,35.0,0.0,0.0,3.0,SW,320.0,10.0
Thu,May 28,89.0,64.0,Sunny,86.0,27.0,0.0,0.0,3.0,SW,320.0,9.0
