Weekday,Date,Time,Temp High,Temp Low,Condition,Humidity,Barometer,Wind Direction,Wind Degree,Wind Speed
Wednesday,"April 29, 2026",12:00 pm — 6:00 pm,68.0,66.0,Sunny,59.0,29.96,W,350.0,12.428
Wednesday,"April 29, 2026",6:00 pm — 12:00 am,64.0,61.0,Clear,76.0,29.98,W,360.0,4.971
Thursday,"April 30, 2026",12:00 am — 6:00 am,61.0,61.0,Passing clouds,83.0,29.94,WSW,330.0,1.864
Thursday,"April 30, 2026",6:00 am — 12:00 pm,70.0,61.0,Overcast,66.0,29.91,ESE,210.0,4.35
Thursday,"April 30, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,61.0,29.86,W,350.0,11.807
Thursday,"April 30, 2026",6:00 pm — 12:00 am,64.0,61.0,Clear,77.0,29.9,W,370.0,3.728
Friday,"May 1, 2026",12:00 am — 6:00 am,63.0,63.0,Overcast,76.0,29.93,SSE,250.0,4.35
Friday,"May 1, 2026",6:00 am — 12:00 pm,68.0,63.0,Overcast,68.0,29.97,ESE,200.0,3.728
Friday,"May 1, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,62.0,29.9,W,350.0,11.185
Friday,"May 1, 2026",6:00 pm — 12:00 am,64.0,61.0,Passing clouds,79.0,29.93,WNW,380.0,6.836
Saturday,"May 2, 2026",12:00 am — 6:00 am,61.0,59.0,Low clouds,85.0,29.93,WSW,330.0,3.728
Saturday,"May 2, 2026",6:00 am — 12:00 pm,66.0,61.0,Overcast,79.0,29.97,SSE,250.0,1.864
Saturday,"May 2, 2026",12:00 pm — 6:00 pm,66.0,64.0,Passing clouds,68.0,29.89,W,350.0,10.564
Saturday,"May 2, 2026",6:00 pm — 12:00 am,63.0,61.0,Overcast,80.0,29.89,W,360.0,7.457
Sunday,"May 3, 2026",12:00 am — 6:00 am,61.0,61.0,Overcast,73.0,29.92,SW,320.0,3.107
Sunday,"May 3, 2026",6:00 am — 12:00 pm,64.0,61.0,Overcast,66.0,29.95,W,370.0,6.836
Sunday,"May 3, 2026",12:00 pm — 6:00 pm,66.0,64.0,Overcast,56.0,29.93,W,370.0,10.564
Sunday,"May 3, 2026",6:00 pm — 12:00 am,63.0,61.0,Overcast,65.0,29.96,W,360.0,8.7
Monday,"May 4, 2026",12:00 am — 6:00 am,61.0,59.0,Overcast,69.0,29.97,WNW,380.0,6.836
Monday,"May 4, 2026",6:00 am — 12:00 pm,66.0,59.0,Sunny,60.0,29.99,WNW,390.0,10.564
Monday,"May 4, 2026",12:00 pm — 6:00 pm,68.0,64.0,Overcast,57.0,29.98,W,370.0,14.293
Monday,"May 4, 2026",6:00 pm — 12:00 am,64.0,61.0,Mostly cloudy,74.0,29.97,W,360.0,7.457
Tuesday,"May 5, 2026",12:00 am — 6:00 am,61.0,57.0,Light rain. Overcast,78.0,29.95,WNW,380.0,4.971
Tuesday,"May 5, 2026",6:00 am — 12:00 pm,64.0,57.0,Sunny,64.0,29.96,W,360.0,9.321
Tuesday,"May 5, 2026",12:00 pm — 6:00 pm,66.0,64.0,More clouds than sun,50.0,29.96,W,370.0,11.807
Tuesday,"May 5, 2026",6:00 pm — 12:00 am,64.0,61.0,Clear,66.0,30.01,WSW,330.0,3.728
Wednesday,"May 6, 2026",12:00 am — 6:00 am,61.0,57.0,Clear,78.0,30.05,N,,0.0
Wednesday,"May 6, 2026",6:00 am — 12:00 pm,68.0,57.0,Sunny,66.0,30.07,N,90.0,3.728
Wednesday,"May 6, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,58.0,30.02,W,370.0,11.807
Wednesday,"May 6, 2026",6:00 pm — 12:00 am,64.0,61.0,Clear,76.0,30.03,WNW,390.0,6.836
Thursday,"May 7, 2026",12:00 am — 6:00 am,61.0,59.0,Clear,82.0,30.01,W,,0.621
Thursday,"May 7, 2026",6:00 am — 12:00 pm,70.0,61.0,Sunny,73.0,30.02,W,370.0,3.728
Thursday,"May 7, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,65.0,29.96,W,350.0,11.185
Thursday,"May 7, 2026",6:00 pm — 12:00 am,64.0,61.0,Clear,82.0,29.99,W,350.0,3.728
Friday,"May 8, 2026",12:00 am — 6:00 am,63.0,61.0,Overcast,81.0,30.0,SSE,240.0,1.864
Friday,"May 8, 2026",6:00 am — 12:00 pm,66.0,63.0,Overcast,77.0,30.01,N,90.0,3.728
Friday,"May 8, 2026",12:00 pm — 6:00 pm,70.0,64.0,Sunny,69.0,29.95,W,370.0,10.564
Friday,"May 8, 2026",6:00 pm — 12:00 am,64.0,61.0,Low clouds,81.0,29.95,WNW,390.0,4.971
Saturday,"May 9, 2026",12:00 am — 6:00 am,63.0,61.0,Low clouds,84.0,29.93,SSE,240.0,3.107
Saturday,"May 9, 2026",6:00 am — 12:00 pm,70.0,61.0,Overcast,77.0,29.94,SE,220.0,3.728
Saturday,"May 9, 2026",12:00 pm — 6:00 pm,72.0,64.0,Sunny,66.0,29.9,W,360.0,9.943
Saturday,"May 9, 2026",6:00 pm — 12:00 am,63.0,61.0,Low clouds,84.0,29.91,WNW,380.0,4.971
Sunday,"May 10, 2026",12:00 am — 6:00 am,63.0,61.0,Low clouds,85.0,29.91,SE,,0.621
Sunday,"May 10, 2026",6:00 am — 12:00 pm,72.0,61.0,Overcast,73.0,29.93,SE,230.0,3.107
Sunday,"May 10, 2026",12:00 pm — 6:00 pm,70.0,68.0,Sunny,64.0,29.92,W,350.0,9.321
Sunday,"May 10, 2026",6:00 pm — 12:00 am,66.0,63.0,Overcast,81.0,29.96,W,370.0,4.35
Monday,"May 11, 2026",12:00 am — 6:00 am,63.0,61.0,Overcast,86.0,29.96,WNW,,0.621
Monday,"May 11, 2026",6:00 am — 12:00 pm,66.0,61.0,Sunny,77.0,29.96,WNW,390.0,6.836
Monday,"May 11, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,67.0,29.95,WNW,390.0,9.321
Monday,"May 11, 2026",6:00 pm — 12:00 am,64.0,59.0,Fog,87.0,29.94,WNW,390.0,7.457
Tuesday,"May 12, 2026",12:00 am — 6:00 am,59.0,57.0,Low clouds,90.0,29.94,SW,320.0,3.728
Tuesday,"May 12, 2026",6:00 am — 12:00 pm,64.0,59.0,Overcast,77.0,30.01,S,260.0,2.486
Tuesday,"May 12, 2026",12:00 pm — 6:00 pm,68.0,64.0,Overcast,64.0,30.02,W,370.0,5.593
Tuesday,"May 12, 2026",6:00 pm — 12:00 am,64.0,63.0,Clear,72.0,30.04,WNW,380.0,6.214
Wednesday,"May 13, 2026",12:00 am — 6:00 am,63.0,61.0,Mostly cloudy,75.0,30.06,WSW,340.0,4.35
Wednesday,"May 13, 2026",6:00 am — 12:00 pm,68.0,63.0,Partly sunny,62.0,30.1,W,360.0,6.214
Wednesday,"May 13, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,55.0,30.06,W,350.0,12.428
Wednesday,"May 13, 2026",6:00 pm — 12:00 am,63.0,63.0,Clear,72.0,30.02,WNW,390.0,4.35
Thursday,"May 14, 2026",12:00 am — 6:00 am,61.0,61.0,Clear,76.0,30.01,ESE,200.0,1.864
Thursday,"May 14, 2026",6:00 am — 12:00 pm,64.0,61.0,Overcast,71.0,30.03,ESE,210.0,3.107
Thursday,"May 14, 2026",12:00 pm — 6:00 pm,70.0,66.0,Sunny,60.0,29.99,W,350.0,6.836
