Month,High Temp,Low Temp,Mean Temp,Precipitation,Humidity,Dew Point,Wind,Pressure,Visibility,City
January,69.0,49.0,59.0,3.37,59.0,42.0,3.0,30.08,10.0,Los Angeles
February,68.0,50.0,59.0,3.57,62.0,44.0,4.0,30.05,10.0,Los Angeles
March,70.0,53.0,62.0,2.09,64.0,47.0,4.0,30.02,9.0,Los Angeles
April,73.0,55.0,64.0,0.69,64.0,49.0,5.0,29.98,10.0,Los Angeles
May,74.0,59.0,66.0,0.35,68.0,54.0,5.0,29.94,9.0,Los Angeles
June,78.0,62.0,70.0,0.09,69.0,57.0,5.0,29.9,9.0,Los Angeles
July,83.0,65.0,74.0,0.04,68.0,61.0,4.0,29.92,9.0,Los Angeles
August,85.0,66.0,75.0,0.07,67.0,61.0,4.0,29.9,9.0,Los Angeles
September,83.0,64.0,74.0,0.14,66.0,60.0,4.0,29.88,9.0,Los Angeles
October,79.0,60.0,70.0,0.62,63.0,54.0,3.0,29.94,9.0,Los Angeles
November,73.0,54.0,63.0,0.85,57.0,46.0,3.0,30.03,9.0,Los Angeles
December,68.0,49.0,58.0,2.52,57.0,41.0,3.0,30.08,10.0,Los Angeles
January,64.0,46.0,55.0,3.85,71.0,45.0,15.0,30.15,9.0,Houston
February,68.0,50.0,59.0,2.87,72.0,49.0,15.0,30.1,9.0,Houston
March,74.0,56.0,65.0,3.3,71.0,55.0,15.0,30.05,9.0,Houston
April,80.0,62.0,71.0,3.81,71.0,60.0,15.0,29.98,10.0,Houston
May,86.0,69.0,78.0,5.5,72.0,67.0,14.0,29.96,10.0,Houston
June,91.0,75.0,83.0,5.94,72.0,73.0,11.0,29.94,10.0,Houston
July,93.0,76.0,85.0,4.78,71.0,74.0,10.0,30.0,10.0,Houston
August,94.0,77.0,85.0,5.31,70.0,74.0,9.0,29.98,10.0,Houston
September,90.0,73.0,81.0,5.48,70.0,70.0,10.0,29.97,10.0,Houston
October,83.0,64.0,73.0,5.8,69.0,62.0,12.0,30.03,10.0,Houston
November,73.0,54.0,64.0,3.76,72.0,54.0,13.0,30.12,10.0,Houston
December,66.0,48.0,57.0,4.19,73.0,48.0,14.0,30.13,9.0,Houston
January,40.0,28.0,34.0,3.61,60.0,21.0,13.0,30.07,9.0,New York
February,42.0,29.0,36.0,3.37,57.0,21.0,13.0,30.06,9.0,New York
March,50.0,35.0,43.0,4.25,57.0,27.0,12.0,30.06,9.0,New York
April,62.0,45.0,53.0,4.06,56.0,36.0,11.0,30.0,9.0,New York
May,71.0,54.0,63.0,4.02,62.0,48.0,8.0,30.0,9.0,New York
June,80.0,64.0,72.0,4.5,65.0,59.0,7.0,29.96,9.0,New York
July,85.0,70.0,77.0,4.83,65.0,64.0,6.0,29.96,9.0,New York
August,84.0,69.0,76.0,4.62,66.0,63.0,6.0,30.0,9.0,New York
September,76.0,62.0,69.0,4.53,67.0,57.0,7.0,30.06,9.0,New York
October,65.0,51.0,58.0,4.48,66.0,46.0,8.0,30.06,9.0,New York
November,54.0,41.0,48.0,3.56,62.0,35.0,10.0,30.11,9.0,New York
December,45.0,33.0,39.0,4.27,62.0,27.0,11.0,30.09,9.0,New York
